Name,Process,CaptureTime,EdgesTime,DeisolationTime,ErrorMass,ErrorDensity,ErrorTime,WhiteMass,WhiteDensity,WhiteTime,TotalTime,Author
IMG_2673,CED,0.4931506,7.0330314,37.0912968,4162159.7929502456,7.282410544480568,2.1939969,565498.0,0.9894354861286078,13.0530339,59.8645096,Julian
IMG_2673,B2D,0.1820184,0.2519811,37.2394303,20502394.043688305,35.872445556689875,2.0740017,565344.0,0.9891660367850844,12.7929996,52.5404311,Julian
IMG_2673,F2D,0.169999,0.1770375,36.6640207,13719274.286399914,24.004217208364675,1.7739137,565605.0,0.9896227009322247,12.8230291,51.608,Julian
IMG_2673,I2D,0.1728514,22.542621,37.3438964,3544567.3255155,6.201826876199399,1.2099654,563765.0,0.9864033061784384,12.5968045,73.8661387,Julian
IMG_2674,CED,0.2390126,7.0484325,37.3104806,4162159.7929502456,7.282410544480568,2.1839171,565498.0,0.9894354861286078,12.6620057,59.4438485,Julian
IMG_2674,B2D,0.1859801,0.2381629,36.8742461,20502394.043688305,35.872445556689875,2.039421,565344.0,0.9891660367850844,12.674287,52.0120971,Julian
IMG_2674,F2D,0.1690076,0.1780002,37.4626904,13719274.286399914,24.004217208364675,1.7620232,565605.0,0.9896227009322247,12.7319989,52.3037203,Julian
IMG_2674,I2D,0.1710006,22.449245,37.5073134,3544567.3255155,6.201826876199399,1.1909843,563765.0,0.9864033061784384,12.631495,73.9500383,Julian
IMG_2675,CED,0.311065,7.2872176,37.0783331,3800643.003821658,6.649875080172829,2.1719731,569715.0,0.9968138489963887,12.7510829,59.5996717,Julian
IMG_2675,B2D,0.1769744,0.3144443,36.7026039,17948314.188377038,31.4036459442223,2.0740296,569274.0,0.996042244058117,12.833998,52.1020502,Julian
IMG_2675,F2D,0.1789996,0.1794735,37.2226317,9950912.850178704,17.410824252853196,1.6570023,569472.0,0.9963886789283615,12.7329703,51.9710774,Julian
IMG_2675,I2D,0.1760002,22.698318,38.8180342,3373364.0722884233,5.902277498335054,1.3059994,569569.0,0.99655839702136,12.2699835,75.2683353,Julian
IMG_2676,CED,0.3154572,6.4239923,34.894304,4282209.46310087,7.492457978326597,1.9959979,570976.0,0.9990201842053694,12.0724335,55.7021849,Julian
IMG_2676,B2D,0.1660322,0.2882033,34.6873657,16699991.527959893,29.219491909450834,1.8860004,570873.0,0.9988399680859998,12.1239994,49.151601,Julian
IMG_2676,F2D,0.1650009,0.1839993,34.7568077,14398945.253538935,25.19341783114088,1.8700012,570814.0,0.9987367374933512,12.0350301,49.0108392,Julian
IMG_2676,I2D,0.1649845,20.6393546,35.1393907,6780613.036857681,11.863842412127463,1.4139375,570935.0,0.9989484476918339,12.0115354,69.3701906,Julian
IMG_2677,CED,0.2863597,6.8746582,34.9804979,4515927.861534517,7.901388296685628,1.9690019,566434.0,0.9910731782424904,12.1649714,56.2754891,Julian
IMG_2677,B2D,0.171085,0.1989146,34.657298,17639752.171099566,30.86376391180882,1.9189713,568244.0,0.9942400828644214,11.9971482,48.9434171,Julian
IMG_2677,F2D,0.1739991,0.1917216,34.6839691,16728736.648488525,29.269786415008898,1.8719998,568496.0,0.9946809999720052,12.1209984,49.042688,Julian
IMG_2677,I2D,0.1700011,20.8259989,35.2744583,3804363.7637295723,6.656385186111763,1.1790289,566732.0,0.9915945802189189,12.3648779,69.8143651,Julian
IMG_2679,CED,0.3415482,6.6036197,34.9835665,3987013.661210271,6.9759624261818525,2.0170284,568971.0,0.9955120937263794,12.1551368,56.1008996,Julian
IMG_2679,B2D,0.1700578,0.2020111,34.5280685,16884153.25019768,29.541714345548975,1.9330312,569445.0,0.9963414378096918,12.2959708,49.1291394,Julian
IMG_2679,F2D,0.170998,0.1745631,34.6716031,9508522.25541819,16.636786231170372,1.6460005,569505.0,0.9964464180734022,12.1604087,48.8235734,Julian
IMG_2679,I2D,0.1679718,20.7392614,35.0573233,4932301.690167032,8.629905535551623,1.3440046,569173.0,0.9958655272808712,12.132856,69.4414171,Julian
IMG_2683,CED,0.3131146,6.5050347,34.8647378,4384893.3982244395,7.672121088128201,2.0199719,564390.0,0.9874968505920887,12.1580817,55.8609407,Julian
IMG_2683,B2D,0.1570289,0.2148245,34.5930731,22539697.32181464,39.43705614662006,1.8589974,566222.0,0.9907022479773803,12.1388337,48.9627576,Julian
IMG_2683,F2D,0.1579965,0.2914426,34.9345799,16269026.874346647,28.46544552634768,1.6860301,566533.0,0.9912463956776126,12.1439969,49.214046,Julian
IMG_2683,I2D,0.1590302,21.0749716,35.4727433,2063740.7432152457,3.6108674575446615,0.9529982,563899.0,0.9866377621007251,12.1941717,69.853915,Julian
IMG_2684,CED,0.2674793,6.4339368,34.9420556,4384893.3982244395,7.672121088128201,1.9979994,564390.0,0.9874968505920887,12.1299036,55.7713747,Julian
IMG_2684,B2D,0.1770363,0.2160764,35.5678453,22539697.32181464,39.43705614662006,1.9121839,566222.0,0.9907022479773803,12.195026,50.0681679,Julian
IMG_2684,F2D,0.3195432,0.1886456,35.4036178,16269026.874346647,28.46544552634768,1.7860003,566533.0,0.9912463956776126,12.2454128,49.9432197,Julian
IMG_2684,I2D,0.1580461,20.9624779,35.4425304,2063740.7432152457,3.6108674575446615,0.9759599,563899.0,0.9866377621007251,12.3170028,69.8560171,Julian
IMG_2685,CED,0.5035536,7.7956628,35.1553772,4434447.125886924,7.758823811425568,1.9999995,569624.0,0.9966546289297612,12.0484139,57.503007,Julian
IMG_2685,B2D,0.1788592,0.201328,34.4387982,19719555.758446664,34.50273606290184,1.9469919,570524.0,0.9982293328854175,12.272995,49.0389723,Julian
IMG_2685,F2D,0.1700238,0.1959719,34.8382702,17772944.29950992,31.096806324553345,1.908014,570590.0,0.998344811175499,12.0720029,49.1842828,Julian
IMG_2685,I2D,0.1669995,20.5942775,35.1439592,3126434.2016375456,5.470231449353227,1.2222661,570216.0,0.9976904341983707,12.1509693,69.2784716,Julian
IMG_2686,CED,0.2981506,7.1262017,34.4948296,4336624.681211988,7.587666710779353,2.1230006,565742.0,0.9898624058676969,12.0879997,56.1301822,Julian
IMG_2686,B2D,0.1740016,0.1931575,34.4127618,21526520.90266788,37.66433068549992,1.9649709,567122.0,0.9922769519330366,12.0750994,48.8199912,Julian
IMG_2686,F2D,0.168001,0.2515155,34.5741379,13296574.006983967,23.264630761638756,1.6329728,567458.0,0.9928648414098149,11.9885635,48.6151907,Julian
IMG_2686,I2D,0.187108,20.5639742,35.0653144,2865051.3549110396,5.012897446374401,1.0589577,565400.0,0.9892640183645475,12.1219729,68.9973272,Julian
